시간,데이터수집(ms),신호처리(ms),화면갱신(Hz),루프처리량(kS/s)
2025-09-19 09:31:07,42.66,2.69,21.00,343.98
2025-09-19 09:31:17,40.35,2.67,21.68,355.16
2025-09-19 09:31:27,40.42,2.53,21.91,358.94
2025-09-19 09:31:37,42.24,2.61,21.20,347.29
2025-09-19 09:31:47,42.02,3.52,20.81,340.94
2025-09-19 09:31:57,42.17,2.49,21.33,349.40
2025-09-19 09:32:07,42.72,2.47,21.03,344.53
2025-09-19 09:32:17,42.40,2.47,21.23,347.81
2025-09-19 09:32:27,42.30,2.56,21.21,347.47
2025-09-19 09:32:37,41.82,2.46,21.38,350.30
2025-09-19 09:32:47,40.78,2.55,21.75,356.41
2025-09-19 09:32:57,42.62,2.89,20.98,343.75
2025-09-19 09:33:07,41.68,2.53,21.43,351.07
2025-09-19 09:33:17,41.35,2.49,21.46,351.55
2025-09-19 09:33:27,42.65,2.54,21.15,346.53
2025-09-19 09:33:37,41.78,2.57,21.25,348.14
2025-09-19 09:33:47,42.37,2.46,21.32,349.31
2025-09-19 09:33:57,42.61,2.46,21.21,347.55
2025-09-19 09:34:07,42.83,2.52,21.09,345.55
2025-09-19 09:34:17,42.08,2.51,21.34,349.65
2025-09-19 09:34:27,40.56,2.54,21.46,351.61
2025-09-19 09:34:37,42.11,2.80,21.22,347.66
2025-09-19 09:34:47,42.41,2.74,21.16,346.76
2025-09-19 09:34:57,41.84,2.62,21.40,350.60
2025-09-19 09:35:07,42.22,2.54,21.28,348.70
2025-09-19 09:35:17,42.42,2.71,21.13,346.15
2025-09-19 09:35:27,42.52,2.80,21.03,344.63
2025-09-19 09:35:37,42.11,2.63,21.20,347.35
2025-09-19 09:35:47,42.39,3.84,20.69,339.04
2025-09-19 09:35:57,42.14,2.56,21.29,348.88
2025-09-19 09:36:07,42.38,2.51,21.29,348.80
2025-09-19 09:36:17,42.64,2.62,21.11,345.90
2025-09-19 09:36:27,42.28,2.88,21.03,344.63
2025-09-19 09:36:37,42.37,2.58,21.25,348.14
2025-09-19 09:36:47,42.28,2.51,21.27,348.44
2025-09-19 09:36:57,42.40,2.49,21.29,348.79
2025-09-19 09:37:07,42.75,2.81,20.99,343.90
2025-09-19 09:37:17,41.74,2.61,21.35,349.87
2025-09-19 09:37:27,42.93,4.01,20.36,333.63
2025-09-19 09:37:37,42.63,2.54,21.16,346.76
2025-09-19 09:37:47,42.05,2.62,21.39,350.38
2025-09-19 09:37:57,42.19,3.69,20.81,340.99
2025-09-19 09:38:07,41.37,2.49,21.39,350.42
2025-09-19 09:38:17,41.67,2.60,21.18,346.96
2025-09-19 09:38:27,42.74,2.61,21.06,345.09
2025-09-19 09:38:37,42.38,2.47,21.23,347.82
2025-09-19 09:38:47,42.17,2.61,21.32,349.34
2025-09-19 09:38:57,42.28,2.45,21.33,349.49
2025-09-19 09:39:07,42.28,2.58,21.28,348.59
2025-09-19 09:39:17,41.43,2.71,21.43,351.03
2025-09-19 09:39:27,42.08,2.86,21.21,347.51
2025-09-19 09:39:37,42.39,2.69,21.19,347.19
2025-09-19 09:39:47,41.00,2.64,21.50,352.26
2025-09-19 09:39:57,42.52,2.65,21.14,346.39
2025-09-19 09:40:07,41.25,2.54,21.62,354.18
2025-09-19 09:40:17,42.34,2.66,21.20,347.31
2025-09-19 09:40:27,42.06,2.62,21.36,349.96
2025-09-19 09:40:37,40.89,2.62,21.55,353.11
2025-09-19 09:40:47,41.46,2.64,21.52,352.63
2025-09-19 09:40:57,41.79,2.90,21.28,348.73
2025-09-19 09:41:07,41.89,2.69,21.40,350.58
2025-09-19 09:41:18,42.50,3.02,20.96,343.42
2025-09-19 09:41:28,38.61,2.80,21.95,359.71
2025-09-19 09:41:38,42.39,2.52,21.26,348.37
2025-09-19 09:41:48,41.49,2.57,21.50,352.32
2025-09-19 09:41:58,41.60,2.56,21.48,351.86
2025-09-19 09:42:08,42.24,3.01,21.04,344.79
2025-09-19 09:42:18,42.24,2.65,21.21,347.45
