시간,데이터수집(ms),신호처리(ms),화면갱신(Hz),루프처리량(kS/s)
2025-09-19 10:21:14,62.50,2.62,14.79,242.28
2025-09-19 10:21:24,57.88,2.70,15.94,261.13
2025-09-19 10:21:34,60.28,2.49,15.39,252.12
2025-09-19 10:21:44,60.98,2.59,15.22,249.31
2025-09-19 10:21:54,48.37,2.53,18.82,308.30
2025-09-19 10:22:04,61.13,2.68,15.16,248.39
2025-09-19 10:22:14,61.08,2.59,15.19,248.79
2025-09-19 10:22:24,47.53,2.45,19.14,313.65
2025-09-19 10:22:34,61.45,3.21,14.95,244.89
2025-09-19 10:22:44,62.02,2.70,14.95,244.91
2025-09-19 10:22:54,59.48,3.88,15.27,250.13
2025-09-19 10:23:04,48.09,2.55,18.89,309.48
2025-09-19 10:23:14,62.31,2.64,14.89,243.98
2025-09-19 10:23:24,59.80,3.72,15.19,248.82
2025-09-19 10:23:34,58.60,2.59,15.76,258.24
2025-09-19 10:23:44,57.01,2.58,16.20,265.45
2025-09-19 10:23:54,58.76,2.62,15.74,257.91
2025-09-19 10:24:04,56.87,2.59,16.22,265.71
2025-09-19 10:24:14,59.91,3.09,15.34,251.31
2025-09-19 10:24:24,61.77,2.43,15.06,246.70
2025-09-19 10:24:34,59.91,2.52,15.48,253.64
2025-09-19 10:24:44,56.00,2.56,16.44,269.28
2025-09-19 10:24:54,48.67,2.44,18.71,306.46
2025-09-19 10:25:04,60.70,3.86,14.97,245.20
2025-09-19 10:25:14,57.02,2.54,16.15,264.68
2025-09-19 10:25:24,60.78,2.64,15.22,249.42
2025-09-19 10:25:34,58.08,2.42,15.93,261.08
2025-09-19 10:25:44,58.34,2.61,15.80,258.79
2025-09-19 10:25:55,59.30,2.48,15.60,255.60
2025-09-19 10:26:05,60.78,2.73,15.20,249.01
2025-09-19 10:26:15,56.96,2.56,16.19,265.20
2025-09-19 10:26:25,57.03,2.80,16.12,264.07
2025-09-19 10:26:35,61.29,2.88,15.07,246.89
2025-09-19 10:26:45,60.20,2.70,15.27,250.22
2025-09-19 10:26:55,60.38,2.58,15.34,251.27
2025-09-19 10:27:05,59.57,2.55,15.54,254.57
2025-09-19 10:27:15,59.48,2.66,15.54,254.67
2025-09-19 10:27:25,59.26,2.56,15.63,256.00
2025-09-19 10:27:35,59.84,2.55,15.45,253.18
2025-09-19 10:27:45,44.51,2.53,19.50,319.54
2025-09-19 10:27:55,59.55,2.69,15.53,254.38
2025-09-19 10:28:05,48.00,2.52,18.94,310.38
2025-09-19 10:28:15,59.73,2.56,15.51,254.13
2025-09-19 10:28:25,62.05,3.77,14.68,240.60
2025-09-19 10:28:35,47.75,2.57,19.03,311.75
2025-09-19 10:28:45,58.93,2.40,15.73,257.70
2025-09-19 10:28:55,58.30,2.57,15.85,259.75
2025-09-19 10:29:05,47.55,2.58,19.06,312.31
2025-09-19 10:29:15,59.41,2.65,15.52,254.32
2025-09-19 10:29:25,58.37,4.02,15.45,253.14
2025-09-19 10:29:35,59.00,2.55,15.69,257.13
2025-09-19 10:29:45,57.28,2.46,15.96,261.56
2025-09-19 10:29:55,59.71,3.87,15.16,248.46
2025-09-19 10:30:05,61.27,2.48,15.17,248.52
2025-09-19 10:30:15,58.02,2.68,15.90,260.55
2025-09-19 10:30:26,58.89,2.48,15.26,250.01
2025-09-19 10:30:36,60.13,2.56,15.39,252.20
2025-09-19 10:30:46,58.36,2.53,15.84,259.44
2025-09-19 10:30:56,56.18,2.59,16.32,267.47
2025-09-19 10:31:06,47.68,2.50,19.04,312.00
2025-09-19 10:31:16,59.36,2.76,15.55,254.75
2025-09-19 10:31:26,47.89,2.63,18.97,310.76
2025-09-19 10:31:36,57.35,2.60,15.89,260.32
2025-09-19 10:31:46,47.97,2.60,18.95,310.42
2025-09-19 10:31:56,59.46,2.50,15.58,255.24
2025-09-19 10:32:06,57.04,2.73,16.14,264.42
2025-09-19 10:32:16,46.72,2.44,19.00,311.36
2025-09-19 10:32:26,59.79,2.54,15.50,253.90
2025-09-19 10:32:36,47.39,2.61,19.08,312.63
2025-09-19 10:32:46,60.65,3.85,14.99,245.66
2025-09-19 10:32:56,59.34,2.47,15.61,255.77
2025-09-19 10:33:06,45.96,2.72,19.40,317.88
2025-09-19 10:33:16,47.55,2.64,19.03,311.82
2025-09-19 10:33:26,48.97,3.34,18.27,299.41
2025-09-19 10:33:36,59.59,2.96,15.42,252.64
2025-09-19 10:33:46,45.73,2.57,19.15,313.74
2025-09-19 10:33:56,60.32,2.65,15.15,248.29
2025-09-19 10:34:06,56.74,2.87,15.91,260.60
2025-09-19 10:34:16,48.95,4.11,18.09,296.34
2025-09-19 10:34:26,47.77,2.58,18.91,309.90
2025-09-19 10:34:36,60.48,2.61,15.29,250.52
2025-09-19 10:34:46,60.76,3.15,15.08,247.12
2025-09-19 10:34:56,57.14,2.96,15.68,256.94
2025-09-19 10:35:06,57.62,2.58,15.83,259.35
2025-09-19 10:35:16,54.94,2.82,16.04,262.84
2025-09-19 10:35:26,52.40,2.75,16.73,274.03
2025-09-19 10:35:36,54.62,2.72,16.37,268.14
2025-09-19 10:35:46,47.13,4.35,18.58,304.37
2025-09-19 10:35:56,58.32,2.76,15.73,257.66
2025-09-19 10:36:06,45.33,3.87,18.68,306.10
2025-09-19 10:36:16,47.02,2.82,19.09,312.79
2025-09-19 10:36:27,56.02,2.95,16.30,267.03
2025-09-19 10:36:37,58.91,2.66,15.67,256.82
2025-09-19 10:36:47,60.33,2.68,15.31,250.85
2025-09-19 10:36:57,60.53,3.77,15.02,246.17
2025-09-19 10:37:07,59.46,4.10,15.17,248.55
2025-09-19 10:37:17,61.08,2.76,15.11,247.54
2025-09-19 10:37:27,52.56,2.83,16.67,273.19
2025-09-19 10:37:37,59.67,2.76,15.46,253.31
2025-09-19 10:37:47,59.46,2.54,15.41,252.47
2025-09-19 10:37:57,47.43,4.06,18.45,302.28
2025-09-19 10:38:07,59.33,2.52,15.35,251.50
2025-09-19 10:38:17,59.39,4.10,15.20,249.02
2025-09-19 10:38:27,47.76,2.47,19.04,311.97
2025-09-19 10:38:37,60.88,2.55,15.24,249.69
2025-09-19 10:38:47,59.04,2.60,15.62,255.86
2025-09-19 10:38:57,60.30,2.65,15.35,251.46
2025-09-19 10:39:07,59.10,2.67,15.63,256.00
2025-09-19 10:39:17,59.68,2.66,15.47,253.54
2025-09-19 10:39:27,55.92,2.66,16.01,262.34
2025-09-19 10:39:37,45.78,2.70,18.88,309.37
2025-09-19 10:39:47,55.63,2.63,16.52,270.64
2025-09-19 10:39:57,57.70,2.84,15.90,260.54
2025-09-19 10:40:07,59.79,2.78,15.40,252.34
2025-09-19 10:40:17,61.43,3.16,14.95,244.94
2025-09-19 10:40:27,60.73,2.66,15.24,249.64
2025-09-19 10:40:38,62.24,2.59,14.90,244.16
2025-09-19 10:40:48,61.06,3.04,15.08,247.12
2025-09-19 10:40:58,58.01,2.69,15.41,252.56
2025-09-19 10:41:08,47.84,3.83,18.54,303.75
2025-09-19 10:41:18,48.81,4.00,18.18,297.82
2025-09-19 10:41:28,58.46,2.52,15.81,259.05
2025-09-19 10:41:38,62.26,2.71,14.87,243.59
2025-09-19 10:41:48,58.90,2.56,15.71,257.42
2025-09-19 10:41:58,48.13,2.68,18.85,308.89
2025-09-19 10:42:08,48.88,2.62,18.60,304.77
2025-09-19 10:42:18,59.39,2.52,15.56,254.98
2025-09-19 10:42:28,59.92,2.46,15.49,253.74
2025-09-19 10:42:38,60.60,2.52,15.27,250.26
2025-09-19 10:42:48,60.94,2.80,15.16,248.44
2025-09-19 10:42:58,61.01,2.52,15.18,248.70
2025-09-19 10:43:08,59.41,2.55,15.56,254.90
2025-09-19 10:43:18,48.59,2.97,18.54,303.71
2025-09-19 10:43:28,60.92,2.59,15.21,249.22
2025-09-19 10:43:38,60.60,2.71,15.26,250.00
2025-09-19 10:43:48,58.72,2.51,15.70,257.20
2025-09-19 10:43:58,47.96,2.48,19.01,311.46
2025-09-19 10:44:08,56.57,2.52,16.29,266.86
2025-09-19 10:44:18,56.51,2.85,16.22,265.70
2025-09-19 10:44:28,59.28,2.66,15.58,255.20
2025-09-19 10:44:38,59.40,2.55,15.58,255.33
2025-09-19 10:44:48,58.22,2.59,15.82,259.18
2025-09-19 10:44:58,48.61,2.76,18.65,305.56
2025-09-19 10:45:08,49.26,2.54,18.48,302.74
2025-09-19 10:45:19,58.69,2.60,15.75,258.12
2025-09-19 10:45:29,58.94,2.87,15.52,254.35
2025-09-19 10:45:39,57.88,2.72,15.91,260.60
2025-09-19 10:45:49,60.63,3.53,15.07,246.88
2025-09-19 10:45:59,57.18,2.74,16.10,263.74
2025-09-19 10:46:09,58.46,2.70,15.78,258.59
2025-09-19 10:46:19,59.43,3.15,15.43,252.74
2025-09-19 10:46:29,58.08,2.96,15.81,259.10
2025-09-19 10:46:39,60.07,2.51,15.43,252.87
2025-09-19 10:46:49,61.13,2.50,15.12,247.68
